Article,URL,Description,Article Date,Tags,AI Summary Tag
US regulator clears path for banks to engage in some crypto activities | Reuters,https://www.reuters.com/business/finance/us-bank-regulator-reaffirms-banks-can-engage-some-crypto-activities-2025-03-07/,"U.S. banks can now engage in certain crypto activities without prior regulatory approval, including crypto-asset custody and stablecoin operations, as clarified by the Office of the Comptroller of the Currency. This change rescinds previous guidance that required banks to seek permission before proceeding with crypto-related activities.","March 10, 2025","Crypto News, News ",News
Tech industry groups push back against federal research cuts,https://www.axios.com/2025/03/10/ai-nist-nsf-cuts-industry-pushback,No content,"March 10, 2025","News ",News
Wall Street ends sharply lower as recession fears loom | Reuters,https://www.reuters.com/markets/us/futures-lower-tariff-worries-continue-tesla-falls-2025-03-10/,"U.S. stocks fell sharply due to tariff concerns and fears of a recession, with the Nasdaq dropping 4% and the S&P 500 closing below its 200-day moving average. Tesla and crypto stocks suffered significant losses amid market instability and rising bond yields.","March 10, 2025","News ",News
Recession risks rise for all three North American economies over US tariff chaos - Reuters poll | Reuters,https://www.reuters.com/markets/us/recession-risks-rise-all-three-north-american-economies-over-us-tariff-chaos-2025-03-07/,"Recession risks are increasing for the U.S., Canada, and Mexico due to chaotic U.S. tariff policies, leading to heightened inflation concerns and uncertainty in economic forecasts. Economists are predicting potential rate cuts by central banks amid these challenges.","March 10, 2025","News ",News
Canada’s incoming prime minister promises quick transition after meeting Trudeau | Reuters,https://www.reuters.com/world/americas/canadas-carney-faces-trump-tariffs-looming-election-2025-03-10/,"Mark Carney, the incoming prime minister of Canada, promises a quick transition after meeting Justin Trudeau. He faces challenges including U.S. tariffs and threats of annexation, while Ontario imposes a surcharge on electricity exports in protest. Carney aims to maintain momentum for the Liberal Party amid a looming election and trade tensions.","March 10, 2025","News ",News
Elon Musk says X is down due to cyberattacks | TechCrunch,https://techcrunch.com/2025/03/10/elon-musk-says-x-is-down-due-to-cyberattacks/,"Elon Musk reported that X experienced significant outages due to a ""massive cyberattack,"" claiming it involved substantial resources and possibly foreign coordination. The platform faced issues affecting over 40,000 users, with Musk suggesting the attack originated from Ukraine, although no evidence supports his claims. Occasional outages are common for large platforms, but this incident coincided with heightened scrutiny of Musk's role in government and related protests against Tesla.","March 10, 2025","News ",News
"Exclusive: TSMC pitched Intel foundry JV to Nvidia, AMD and Broadcom, sources say | Reuters",https://www.reuters.com/technology/tsmc-pitched-intel-foundry-jv-nvidia-amd-broadcom-sources-say-2025-03-12/,"TSMC is proposing a joint venture to operate Intel's foundries, seeking partnerships with Nvidia, AMD, and Broadcom, while maintaining a stake of no more than 50%. Talks are in early stages, with Qualcomm also approached. The deal requires U.S. government approval amid Intel's financial struggles.","March 12, 2025","News ",News
Anthropic CEO says spies are after $100M AI secrets in a ‘few lines of code’ | TechCrunch,https://techcrunch.com/2025/03/12/anthropic-ceo-says-spies-are-after-100m-ai-secrets-in-a-few-lines-of-code/,"Anthropic CEO Dario Amodei warns that spies, likely from China, are targeting valuable AI algorithmic secrets, urging the U.S. government to enhance security measures at AI labs to combat industrial espionage. He emphasizes the need for collaboration between the government and AI industry leaders to protect against these risks.","March 12, 2025","News ",News
EU strikes back against US steel and aluminium tariffs with retaliatory package | Euronews,https://www.euronews.com/my-europe/2025/03/12/eu-strikes-back-against-us-steel-and-aluminium-tariffs-with-retaliatory-package,"The EU has announced countermeasures against new US tariffs on steel and aluminium, targeting American products worth €26 billion. The response includes a two-phase implementation, with the first phase suspending previous countermeasures and the second phase imposing new tariffs on various US exports. Despite this, the EU remains open to negotiations with the US to resolve the trade dispute.","March 12, 2025","News ",News
fortune.com/asia/2025/03/12/trump-trade-war-steel-aluminum-tariff-cascade/,https://fortune.com/asia/2025/03/12/trump-trade-war-steel-aluminum-tariff-cascade/,"The Trump administration plans to impose reciprocal tariffs on a country-by-country basis starting in April 2025, continuing the trade war strategy.","March 12, 2025","News ",News
Ray Dalio warns debt crisis is 'imminent' because foreign governments may stop buying | Fortune,https://fortune.com/2025/03/12/national-debt-burden-ray-dalio-foreign-government-pressure/,"Ray Dalio warns that an imminent debt crisis may occur if foreign governments stop purchasing U.S. debt, highlighting concerns over America's growing debt burden.","March 12, 2025","News ",News
Markets are close to a correction due to Trump tariffs | Fortune,https://fortune.com/2025/03/12/trumps-tariffs-market-correction-ubs-deutsche-us-bank-analysis/,"Markets are nearing a correction as President Trump's trade war rhetoric escalates, according to analysis from UBS and Deutsche Bank.","March 12, 2025","News ",News
"FBI, EPA, and Treasury told Citibank to freeze funds as Trump administration tries to claw back climate money | TechCrunch",https://techcrunch.com/2025/03/13/fbi-epa-and-treasury-told-citibank-to-freeze-funds-as-trump-administration-tries-to-claw-back-climate-money/,"Citibank has frozen accounts of several nonprofits and state agencies at the request of the FBI, EPA, and Treasury, related to the Greenhouse Gas Reduction Fund amid concerns of fraud, although no evidence has been provided. Three affected nonprofits are suing for the release of their funds.","March 13, 2025","News ",News
Trump threatens tariffs on European wine and spirits in escalating trade war | Reuters,https://www.reuters.com/markets/trump-threatens-200-wine-tariff-if-eu-does-not-remove-whiskey-tariff-2025-03-13/,"Trump threatens a 200% tariff on European wine and spirits in retaliation for EU tariffs on American whiskey, escalating trade tensions and causing stock market declines, while industry leaders urge de-escalation to avoid economic fallout.","March 13, 2025","Food + Drink, News ",News
Government shutdown likely Friday night after Schumer says Senate Dems will block GOP funding bill,https://nypost.com/2025/03/12/us-news/government-shutdown-likely-friday-night-after-schumer-says-senate-dems-will-block-gop-funding-bill/,"Senate Democrats, led by Chuck Schumer, will block a GOP funding bill, likely causing a government shutdown on Friday. The House-passed bill lacks bipartisan support, with Democrats advocating for a clean continuing resolution instead.","March 13, 2025","Crypto News, News ",News
